,ISO,COUNTRY_CODE,STATE_CODE,STATE_ISO,SOURCE,ID,CONCEPT,TITLE,RESUME,PUBLICATION_DATE,URL,DOC_TYPE,SCRAPING_STATUS,TIMESTAMP
0,PERU,178,,,CONGRESO de la REPÚBLICA del PERÚ,31001,LEY,LEY 31001,"LEY QUE MODIFICA EL ARTÍCULO 5 DE LA LEY 29701, LEY QUE DISPONE BENEFICIOS A FAVOR DE LOS INTEGRANTES DE LAS JUNTAS VECINALES Y ESTABLECE EL DÍA DE LAS JUNTAS VECINALES DE SEGURIDAD CIUDADANA",2019-09-12,http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Texto_Consolidado/31001-TXM.pdf,pdf,,
1,PERU,178,,,CONGRESO de la REPÚBLICA del PERÚ,31002,RESOLUCION LEGISLATIVA,RESOLUCIÓN LEGISLATIVA 31002,RESOLUCIÓN LEGISLATIVA QUE AUTORIZA AL SEÑOR PRESIDENTE DE LA REPÚBLICA PARA SALIR DEL TERRITORIO NACIONAL DEL 24 AL 26 DE SETIEMBRE DE 2019,2019-09-18,http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Texto_Consolidado/31002-TXM.pdf,pdf,,
2,PERU,178,,,CONGRESO de la REPÚBLICA del PERÚ,31003,LEY,LEY 31003,"LEY QUE AUTORIZA AL MINISTERIO DE SALUD PARA REALIZAR EN EL AÑO 2019, REAJUSTES EN LA VALORIZACIÓN PRINCIPAL QUE SE OTORGA AL PERSONAL DE LA SALUD, EN EL MARCO DEL DECRETO LEGISLATIVO 1153",2019-09-30,http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Texto_Consolidado/31003-TXM.pdf,pdf,,
3,PERU,178,,,CONGRESO de la REPÚBLICA del PERÚ,31004,LEY,LEY 31004,"LEY QUE EXONERA AL MINISTERIO DE DEFENSA Y AL MINISTERIO DEL INTERIOR DE LA PROHIBICIÓN DISPUESTA EN EL ARTÍCULO 6 DE LA LEY 30879, LEY DE PRESUPUESTO DEL SECTOR PÚBLICO PARA EL AÑO FISCAL 2019",2019-09-30,http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Texto_Consolidado/31004-TXM.pdf,pdf,,
4,PERU,178,,,CONGRESO de la REPÚBLICA del PERÚ,31005,LEY,LEY 31005,"LEY QUE MODIFICA EL ARTÍCULO 2 E INCORPORA EL ARTÍCULO 4-A A LA LEY 28308, LEY QUE REGULA EL USO DEL DESCANSO PRE Y POSTNATAL DEL PERSONAL FEMENINO DE LAS FUERZAS ARMADAS Y POLICÍA NACIONAL DEL PERÚ",2019-10-10,http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Texto_Consolidado/31005-TXM.pdf,pdf,,
5,PERU,178,,,CONGRESO de la REPÚBLICA del PERÚ,31006,LEY,LEY 31006,LEY QUE ESTABLECE LA TERCERA SEMANA DE OCTUBRE DE CADA AÑO COMO LA SEMANA NACIONAL DE LUCHA CONTRA EL CÁNCER,2019-10-13,http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Texto_Consolidado/31006-TXM.pdf,pdf,,
6,PERU,178,,,CONGRESO de la REPÚBLICA del PERÚ,31007,LEY,LEY 31007,LEY QUE REESTRUCTURA LA INSCRIPCIÓN EN EL REGISTRO INTEGRAL DE FORMALIZACIÓN MINERA DE PERSONAS NATURALES O JURÍDICAS QUE SE ENCUENTREN DESARROLLANDO LAS ACTIVIDADES DE EXPLOTACIÓN O BENEFICIO EN EL SEGMENTO DE PEQUEÑA MINERÍA Y MINERÍA ARTESANAL,2019-10-17,http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Texto_Consolidado/31007-TXM.pdf,pdf,,
7,PERU,178,,,CONGRESO de la REPÚBLICA del PERÚ,31008,LEY,LEY 31008,"LEY QUE DISPONE LA EVALUACIÓN DE LA INCORPORACIÓN DEL ESQUEMA HIDRÁULICO DE CAZADEROS -TUMBES EN LA CUENCA TRANSFRONTERIZA PUYANGO-TUMBES, CON LA FINALIDAD DE PROMOVER LA SEGURIDAD HÍDRICA DE LA REGIÓN TUMBES",2019-10-17,http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Texto_Consolidado/31008-TXM.pdf,pdf,,
8,PERU,178,,,CONGRESO de la REPÚBLICA del PERÚ,31009,LEY,LEY 31009,LEY PARA EL FORTALECIMIENTO DE LA INVESTIGACIÓN Y APLICACIÓN DE LA NEURIGENÉTICA Y DE LA BIOLOGÍA MOLECULAR,2019-10-17,http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Texto_Consolidado/31009-TXM.pdf,pdf,,
9,PERU,178,,,CONGRESO de la REPÚBLICA del PERÚ,31012,LEY,LEY 31012,LEY DE PROTECCIÓN POLICIAL,2020-03-28,http://www.leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Normas_Legales/31012-LEY.pdf,pdf,,
